n,confound_strength,p01,p10,estimator,mean_estimate,bias,variance,rmse,n_seeds,delta
2000,0.0,0.0,0.4,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,-0.4
2000,0.0,0.0,0.4,rate,1.200603200893995,0.20060320089399508,0.001089970705613658,0.20329284709218082,300,-0.4
2000,0.0,0.0,0.4,single_rewrite,1.0992598607341906,0.09925986073419057,0.001114841753540615,0.10470742842479264,300,-0.4
2000,0.0,0.04999999999999999,0.35000000000000003,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,-0.30000000000000004
2000,0.0,0.04999999999999999,0.35000000000000003,rate,1.1505048675606617,0.15050486756066173,0.0011035927258541073,0.15411563594550332,300,-0.30000000000000004
2000,0.0,0.04999999999999999,0.35000000000000003,single_rewrite,1.074113194067524,0.07411319406752392,0.0011178364024676014,0.08128269075280736,300,-0.30000000000000004
2000,0.0,0.1,0.30000000000000004,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,-0.20000000000000004
2000,0.0,0.1,0.30000000000000004,rate,1.1003273675606617,0.10032736756066174,0.0010960501080309745,0.10563132721557078,300,-0.20000000000000004
2000,0.0,0.1,0.30000000000000004,single_rewrite,1.049050694067524,0.04905069406752394,0.0011168560104037701,0.0593220342330031,300,-0.20000000000000004
2000,0.0,0.15000000000000002,0.25,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,-0.09999999999999998
2000,0.0,0.15000000000000002,0.25,rate,1.0500390342273282,0.05003903422732825,0.0010965999511500081,0.05997374062356996,300,-0.09999999999999998
2000,0.0,0.15000000000000002,0.25,single_rewrite,1.0239023607341906,0.02390236073419061,0.0011025511192846145,0.04086806574275786,300,-0.09999999999999998
2000,0.0,0.2,0.2,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,0.0
2000,0.0,0.2,0.2,rate,1.000173200893995,0.00017320089399497363,0.0011119989205642224,0.03329147422457221,300,0.0
2000,0.0,0.2,0.2,single_rewrite,0.9988173607341906,-0.0011826392658094154,0.0011199862966201962,0.03343129738131367,300,0.0
2000,0.0,0.25,0.15000000000000002,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,0.09999999999999998
2000,0.0,0.25,0.15000000000000002,rate,0.950505700893995,-0.049494299106005,0.0011263289880208366,0.059768387982740936,300,0.09999999999999998
2000,0.0,0.25,0.15000000000000002,single_rewrite,0.9740815274008571,-0.025918472599142928,0.0011207917900189195,0.04229448000931129,300,0.09999999999999998
2000,0.0,0.30000000000000004,0.09999999999999998,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,0.20000000000000007
2000,0.0,0.30000000000000004,0.09999999999999998,rate,0.9006640342273283,-0.09933596577267167,0.0011099889688568373,0.10475649431713867,300,0.20000000000000007
2000,0.0,0.30000000000000004,0.09999999999999998,single_rewrite,0.9491365274008573,-0.0508634725991427,0.0011096057424429256,0.060770057606345254,300,0.20000000000000007
2000,0.0,0.35000000000000003,0.04999999999999999,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,0.30000000000000004
2000,0.0,0.35000000000000003,0.04999999999999999,rate,0.8504973675606617,-0.14950263243933826,0.0011248742261043949,0.1532062719070032,300,0.30000000000000004
2000,0.0,0.35000000000000003,0.04999999999999999,single_rewrite,0.9241998607341907,-0.07580013926580931,0.001103105327675141,0.08273505558487476,300,0.30000000000000004
2000,0.0,0.4,0.0,naive,0.9988049410608068,-0.0011950589391932498,0.0019991303256929197,0.04465304831485479,300,0.4
2000,0.0,0.4,0.0,rate,0.800788200893995,-0.19921179910600495,0.001105163494153405,0.20195747205511075,300,0.4
2000,0.0,0.4,0.0,single_rewrite,0.8993406940675239,-0.10065930593247607,0.0010981715119708782,0.10595662702762912,300,0.4
2000,0.25,0.0,0.4,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,-0.4
2000,0.25,0.0,0.4,rate,1.200603200893995,0.20060320089399508,0.001089970705613658,0.20329284709218082,300,-0.4
2000,0.25,0.0,0.4,single_rewrite,1.0492165274008574,0.04921652740085736,0.0011292241908285108,0.0595627961028674,300,-0.4
2000,0.25,0.04999999999999999,0.35000000000000003,naive,0.8987170171493088,-0.10128298285069115,0.0020199344354237367,0.1107765495751351,300,-0.30000000000000004
2000,0.25,0.04999999999999999,0.35000000000000003,rate,1.1505048675606617,0.15050486756066173,0.0011035927258541073,0.15411563594550332,300,-0.30000000000000004
2000,0.25,0.04999999999999999,0.35000000000000003,single_rewrite,1.0240698607341907,0.024069860734190707,0.0011327332600453534,0.04133177564870885,300,-0.30000000000000004
