typo_level,estimator,mean_estimate,bias,variance,rmse,n_seeds
0.0,naive,0.9996015677418078,-0.0003984322581922495,0.0015264368869773795,0.038973881649212984,200
0.0,rate,0.9995932613782569,-0.00040673862174311903,0.0006084076303897079,0.02460754007502938,200
0.0,single_rewrite,0.999742342635384,-0.0002576573646160263,0.00064385612227369,0.025312116248545135,200
0.05,naive,0.9851240992128367,-0.014875900787163276,0.0015264368869773795,0.04171447143105159,200
0.05,rate,0.9995932613782569,-0.00040673862174311903,0.0006084076303897079,0.02460754007502938,200
0.05,single_rewrite,0.9925036083708985,-0.00749639162910154,0.0006438561222736905,0.026397589456599736,200
0.1,naive,0.9705982164073907,-0.029401783592609254,0.0015264368869773789,0.04881874210760786,200
0.1,rate,0.9995932613782569,-0.00040673862174311903,0.0006084076303897079,0.02460754007502938,200
0.1,single_rewrite,0.9852406669681756,-0.014759333031824418,0.0006438561222736904,0.02929973981465754,200
0.2,naive,0.9415225458079546,-0.05847745419204542,0.0015264368869773797,0.0702738738887025,200
0.2,rate,0.9995932613782569,-0.00040673862174311903,0.0006084076303897079,0.02460754007502938,200
0.2,single_rewrite,0.9707028316684575,-0.0292971683315425,0.0006438561222736907,0.03871641659437327,200
0.3,naive,0.9123537317833627,-0.08764626821663735,0.001526436886977379,0.0959201388387508,200
0.3,rate,0.9995932613782569,-0.00040673862174311903,0.0006084076303897079,0.02460754007502938,200
0.3,single_rewrite,0.9561184246561614,-0.04388157534383863,0.0006438561222736902,0.05065796577360071,200
0.4,naive,0.883066237820403,-0.11693376217959695,0.0015264368869773795,0.12325708677401494,200
0.4,rate,0.9995932613782569,-0.00040673862174311903,0.0006084076303897079,0.02460754007502938,200
0.4,single_rewrite,0.9414746776746816,-0.058525322325318374,0.0006438561222736902,0.06376401959526022,200
